TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
GSW,GSW @ CLE,06/08/2018,W,240,108,39,86,45.3,14,38,36.8,16,16,100.0,10,34,44,25,7,13,10,24,23
CLE,CLE vs. GSW,06/08/2018,L,240,85,30,87,34.5,8,27,29.6,17,25,68.0,17,27,44,21,5,5,11,22,-23
CLE,CLE vs. GSW,06/06/2018,L,240,102,40,92,43.5,9,31,29.0,13,17,76.5,15,32,47,20,6,4,14,18,-8
GSW,GSW @ CLE,06/06/2018,W,240,110,42,81,51.9,9,26,34.6,17,19,89.5,6,31,37,27,6,5,11,20,8
CLE,CLE @ GSW,06/03/2018,L,240,103,37,90,41.1,9,27,33.3,20,26,76.9,16,26,42,25,9,4,11,15,-19
GSW,GSW vs. CLE,06/03/2018,W,240,122,47,82,57.3,15,36,41.7,13,21,61.9,7,34,41,28,3,8,12,25,19
GSW,GSW vs. CLE,05/31/2018,W,265,124,46,90,51.1,13,36,36.1,19,20,95.0,4,34,38,31,10,6,8,18,10
CLE,CLE @ GSW,05/31/2018,L,265,114,44,99,44.4,10,37,27.0,16,22,72.7,19,34,53,18,5,3,12,18,-10
GSW,GSW @ HOU,05/28/2018,W,240,101,39,80,48.8,16,39,41.0,7,14,50.0,11,31,42,25,9,7,17,22,9
HOU,HOU vs. GSW,05/28/2018,L,240,92,36,90,40.0,7,44,15.9,13,22,59.1,17,27,44,17,13,3,12,17,-9
CLE,CLE @ BOS,05/27/2018,W,240,87,30,66,45.5,9,35,25.7,18,25,72.0,2,39,41,15,2,4,13,21,8
BOS,BOS vs. CLE,05/27/2018,L,240,79,29,85,34.1,7,39,17.9,14,19,73.7,11,31,42,18,6,0,6,20,-8
GSW,GSW vs. HOU,05/26/2018,W,240,115,43,87,49.4,16,38,42.1,13,19,68.4,13,34,47,26,11,10,12,17,29
HOU,HOU @ GSW,05/26/2018,L,240,86,31,77,40.3,15,39,38.5,9,17,52.9,7,31,38,13,8,2,21,16,-29
BOS,BOS @ CLE,05/25/2018,L,240,99,38,74,51.4,12,28,42.9,11,20,55.0,5,26,31,25,5,2,14,18,-10
CLE,CLE vs. BOS,05/25/2018,W,240,109,41,87,47.1,9,23,39.1,18,22,81.8,15,29,44,16,8,9,11,19,10
HOU,HOU vs. GSW,05/24/2018,W,240,98,29,78,37.2,13,43,30.2,27,32,84.4,8,32,40,12,10,3,12,19,4
GSW,GSW @ HOU,05/24/2018,L,240,94,32,72,44.4,10,26,38.5,20,23,87.0,4,37,41,18,7,1,18,21,-4
BOS,BOS vs. CLE,05/23/2018,W,240,96,31,85,36.5,13,39,33.3,21,23,91.3,7,38,45,18,10,6,10,19,13
CLE,CLE @ BOS,05/23/2018,L,240,83,31,74,41.9,9,34,26.5,12,19,63.2,3,36,39,17,3,7,15,19,-13
HOU,HOU @ GSW,05/22/2018,W,240,95,30,77,39.0,12,38,31.6,23,27,85.2,8,33,41,12,7,9,13,19,3
GSW,GSW vs. HOU,05/22/2018,L,240,92,35,89,39.3,9,27,33.3,13,14,92.9,16,33,49,14,6,3,16,24,-3
BOS,BOS @ CLE,05/21/2018,L,240,102,35,85,41.2,9,28,32.1,23,30,76.7,9,28,37,21,9,3,10,26,-9
CLE,CLE vs. BOS,05/21/2018,W,240,111,41,81,50.6,8,23,34.8,21,29,72.4,9,38,47,15,6,8,19,23,9
GSW,GSW vs. HOU,05/20/2018,W,240,126,48,92,52.2,13,32,40.6,17,18,94.4,11,38,49,20,11,7,8,16,41
