TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
HOU,HOU @ GSW,05/20/2018,L,240,85,32,81,39.5,11,34,32.4,10,13,76.9,10,31,41,19,3,5,20,19,-41
CLE,CLE vs. BOS,05/19/2018,W,240,116,37,76,48.7,17,34,50.0,25,30,83.3,8,37,45,23,9,3,15,23,30
BOS,BOS @ CLE,05/19/2018,L,240,86,29,74,39.2,6,22,27.3,22,28,78.6,6,28,34,16,4,4,15,25,-30
GSW,GSW @ HOU,05/16/2018,L,240,105,39,85,45.9,9,30,30.0,18,22,81.8,9,27,36,21,6,4,15,22,-22
HOU,HOU vs. GSW,05/16/2018,W,240,127,45,88,51.1,16,42,38.1,21,27,77.8,10,37,47,23,8,1,14,24,22
CLE,CLE @ BOS,05/15/2018,L,240,94,37,80,46.3,10,31,32.3,10,17,58.8,8,37,45,18,2,5,15,21,-13
BOS,BOS vs. CLE,05/15/2018,W,240,107,40,92,43.5,10,31,32.3,17,20,85.0,11,35,46,24,8,2,6,18,13
HOU,HOU vs. GSW,05/14/2018,L,240,106,39,85,45.9,13,37,35.1,15,21,71.4,7,35,42,18,5,3,16,23,-13
GSW,GSW @ HOU,05/14/2018,W,240,119,42,80,52.5,13,33,39.4,22,25,88.0,3,34,37,24,9,4,9,17,13
BOS,BOS vs. CLE,05/13/2018,W,240,108,43,84,51.2,11,30,36.7,11,13,84.6,6,42,48,27,6,4,11,17,25
CLE,CLE @ BOS,05/13/2018,L,240,83,31,86,36.0,4,26,15.4,17,20,85.0,9,31,40,18,4,3,10,12,-25
PHI,PHI @ BOS,05/09/2018,L,240,112,40,82,48.8,8,21,38.1,24,31,77.4,12,36,48,26,5,6,17,31,-2
BOS,BOS vs. PHI,05/09/2018,W,240,114,38,85,44.7,7,20,35.0,31,41,75.6,13,26,39,18,12,3,11,24,2
UTA,UTA @ HOU,05/08/2018,L,240,102,38,81,46.9,10,28,35.7,16,21,76.2,11,30,41,24,5,5,12,18,-10
HOU,HOU vs. UTA,05/08/2018,W,240,112,40,83,48.2,18,39,46.2,14,17,82.4,6,34,40,21,10,8,10,18,10
NOP,NOP @ GSW,05/08/2018,L,240,104,41,88,46.6,10,24,41.7,12,16,75.0,4,40,44,26,7,4,14,12,-9
GSW,GSW vs. NOP,05/08/2018,W,240,113,48,99,48.5,7,27,25.9,10,12,83.3,11,41,52,35,10,2,13,18,9
CLE,CLE vs. TOR,05/07/2018,W,240,128,50,84,59.5,12,26,46.2,16,20,80.0,6,31,37,29,9,5,11,21,35
TOR,TOR @ CLE,05/07/2018,L,240,93,36,79,45.6,4,15,26.7,17,23,73.9,9,23,32,19,3,5,13,24,-35
BOS,BOS @ PHI,05/07/2018,L,240,92,31,75,41.3,11,32,34.4,19,26,73.1,6,36,42,16,4,10,15,28,-11
PHI,PHI vs. BOS,05/07/2018,W,240,103,38,94,40.4,7,26,26.9,20,26,76.9,16,37,53,24,6,3,10,23,11
GSW,GSW @ NOP,05/06/2018,W,240,118,46,95,48.4,11,33,33.3,15,18,83.3,5,40,45,28,11,5,11,20,26
NOP,NOP vs. GSW,05/06/2018,L,240,92,32,88,36.4,4,26,15.4,24,30,80.0,10,41,51,17,7,4,19,21,-26
HOU,HOU @ UTA,05/06/2018,W,240,100,37,88,42.0,10,38,26.3,16,17,94.1,9,40,49,15,11,9,13,21,13
UTA,UTA vs. HOU,05/06/2018,L,240,87,32,83,38.6,7,29,24.1,16,20,80.0,8,37,45,16,8,5,17,21,-13
TOR,TOR @ CLE,05/05/2018,L,240,103,35,75,46.7,13,33,39.4,20,25,80.0,12,29,41,14,5,11,17,28,-2
CLE,CLE vs. TOR,05/05/2018,W,240,105,38,79,48.1,9,25,36.0,20,25,80.0,6,30,36,18,7,4,12,19,2
BOS,BOS @ PHI,05/05/2018,W,265,101,41,91,45.1,10,38,26.3,9,14,64.3,9,40,49,19,9,7,13,20,3
PHI,PHI vs. BOS,05/05/2018,L,265,98,38,97,39.2,9,30,30.0,13,18,72.2,13,37,50,23,8,5,15,14,-3
GSW,GSW @ NOP,05/04/2018,L,240,100,35,92,38.0,9,31,29.0,21,26,80.8,10,34,44,22,11,4,12,17,-19
NOP,NOP vs. GSW,05/04/2018,W,240,119,48,96,50.0,14,31,45.2,9,12,75.0,10,44,54,36,7,3,15,20,19
UTA,UTA vs. HOU,05/04/2018,L,240,92,35,84,41.7,11,29,37.9,11,15,73.3,5,38,43,17,3,4,16,19,-21
HOU,HOU @ UTA,05/04/2018,W,240,113,42,86,48.8,11,36,30.6,18,20,90.0,3,38,41,26,8,7,9,19,21
TOR,TOR vs. CLE,05/03/2018,L,240,110,44,81,54.3,12,30,40.0,10,11,90.9,5,30,35,26,2,2,11,24,-18
CLE,CLE @ TOR,05/03/2018,W,240,128,50,84,59.5,11,26,42.3,17,23,73.9,5,29,34,25,5,3,3,14,18
PHI,PHI @ BOS,05/03/2018,L,240,103,40,92,43.5,13,33,39.4,10,14,71.4,16,33,49,30,7,4,12,21,-5
BOS,BOS vs. PHI,05/03/2018,W,240,108,37,82,45.1,15,36,41.7,19,24,79.2,5,36,41,23,7,3,9,16,5
UTA,UTA @ HOU,05/02/2018,W,240,116,43,83,51.8,15,32,46.9,15,25,60.0,5,43,48,26,4,5,17,24,8
HOU,HOU vs. UTA,05/02/2018,L,240,108,38,95,40.0,10,37,27.0,22,27,81.5,11,38,49,22,11,7,8,21,-8
TOR,TOR vs. CLE,05/01/2018,L,265,112,39,91,42.9,9,28,32.1,25,31,80.6,15,35,50,26,2,6,14,22,-1
CLE,CLE @ TOR,05/01/2018,W,265,113,42,102,41.2,14,35,40.0,15,21,71.4,13,32,45,25,5,5,6,23,1
NOP,NOP @ GSW,05/01/2018,L,240,116,48,105,45.7,13,37,35.1,7,9,77.8,10,36,46,33,12,5,14,19,-5
GSW,GSW vs. NOP,05/01/2018,W,240,121,43,91,47.3,13,40,32.5,22,27,81.5,7,42,49,36,10,8,16,18,5
PHI,PHI @ BOS,04/30/2018,L,240,101,35,83,42.2,5,26,19.2,26,35,74.3,11,34,45,22,7,2,12,19,-16
BOS,BOS vs. PHI,04/30/2018,W,240,117,41,85,48.2,17,35,48.6,18,19,94.7,5,31,36,27,4,4,10,21,16
HOU,HOU vs. UTA,04/29/2018,W,240,110,37,82,45.1,17,32,53.1,19,24,79.2,8,35,43,18,10,5,15,21,14
UTA,UTA @ HOU,04/29/2018,L,240,96,38,76,50.0,7,22,31.8,13,22,59.1,6,31,37,20,11,3,18,20,-14
CLE,CLE vs. IND,04/29/2018,W,240,105,32,74,43.2,10,29,34.5,31,40,77.5,15,29,44,18,6,4,12,21,4
IND,IND @ CLE,04/29/2018,L,240,101,36,80,45.0,10,31,32.3,19,24,79.2,10,27,37,15,6,0,11,28,-4
MIL,MIL @ BOS,04/28/2018,L,240,96,35,74,47.3,9,27,33.3,17,18,94.4,4,28,32,21,4,3,16,20,-16
BOS,BOS vs. MIL,04/28/2018,W,240,112,45,84,53.6,9,26,34.6,13,21,61.9,11,31,42,28,9,4,15,23,16
NOP,NOP @ GSW,04/28/2018,L,240,101,42,96,43.8,8,25,32.0,9,11,81.8,7,35,42,24,7,3,12,24,-22
GSW,GSW vs. NOP,04/28/2018,W,240,123,44,91,48.4,11,27,40.7,24,32,75.0,13,44,57,33,8,10,14,16,22
TOR,TOR @ WAS,04/27/2018,W,240,102,40,90,44.4,7,25,28.0,15,19,78.9,16,31,47,18,8,6,7,20,10
WAS,WAS vs. TOR,04/27/2018,L,240,92,32,79,40.5,8,22,36.4,20,21,95.2,11,31,42,12,3,5,14,19,-10
CLE,CLE @ IND,04/27/2018,L,240,87,33,79,41.8,12,38,31.6,9,16,56.3,7,26,33,16,4,2,15,17,-34
IND,IND vs. CLE,04/27/2018,W,240,121,49,87,56.3,15,30,50.0,8,14,57.1,9,36,45,27,9,1,7,18,34
UTA,UTA vs. OKC,04/27/2018,W,240,96,37,82,45.1,10,26,38.5,12,23,52.2,11,29,40,16,9,5,13,17,5
OKC,OKC @ UTA,04/27/2018,L,240,91,37,93,39.8,10,34,29.4,7,13,53.8,15,34,49,20,6,4,13,21,-5
MIL,MIL vs. BOS,04/26/2018,W,240,97,38,75,50.7,8,26,30.8,13,21,61.9,7,41,48,19,6,3,11,16,11
BOS,BOS @ MIL,04/26/2018,L,240,86,30,81,37.0,10,36,27.8,16,19,84.2,6,33,39,18,3,3,9,19,-11
OKC,OKC vs. UTA,04/25/2018,W,240,107,39,89,43.8,9,21,42.9,20,24,83.3,7,37,44,13,9,3,9,21,8
UTA,UTA @ OKC,04/25/2018,L,240,99,33,81,40.7,13,38,34.2,20,26,76.9,10,36,46,19,5,6,17,24,-8
TOR,TOR vs. WAS,04/25/2018,W,240,108,38,82,46.3,11,25,44.0,21,28,75.0,6,29,35,26,9,5,10,18,10
WAS,WAS @ TOR,04/25/2018,L,240,98,37,90,41.1,5,26,19.2,19,22,86.4,14,36,50,21,6,4,18,18,-10
MIN,MIN @ HOU,04/25/2018,L,240,104,40,79,50.6,9,19,47.4,15,20,75.0,5,33,38,23,2,3,9,18,-18
HOU,HOU vs. MIN,04/25/2018,W,240,122,45,88,51.1,18,44,40.9,14,19,73.7,8,32,40,29,3,5,5,17,18
CLE,CLE vs. IND,04/25/2018,W,240,98,31,75,41.3,10,32,31.3,26,27,96.3,10,27,37,16,6,3,14,21,3
IND,IND @ CLE,04/25/2018,L,240,95,34,71,47.9,6,20,30.0,21,27,77.8,7,27,34,23,7,3,17,22,-3
MIL,MIL @ BOS,04/24/2018,L,240,87,32,87,36.8,9,33,27.3,14,20,70.0,7,30,37,21,10,3,11,23,-5
BOS,BOS vs. MIL,04/24/2018,W,240,92,29,69,42.0,10,31,32.3,24,32,75.0,5,45,50,22,7,7,18,21,5
GSW,GSW vs. SAS,04/24/2018,W,240,99,37,83,44.6,5,27,18.5,20,25,80.0,8,39,47,25,5,5,10,19,8
SAS,SAS @ GSW,04/24/2018,L,240,91,32,86,37.2,7,30,23.3,20,22,90.9,13,35,48,21,5,0,13,22,-8
PHI,PHI vs. MIA,04/24/2018,W,240,104,34,81,42.0,7,28,25.0,29,36,80.6,9,44,53,27,7,2,15,20,13
MIA,MIA @ PHI,04/24/2018,L,240,91,34,88,38.6,10,35,28.6,13,22,59.1,10,30,40,24,7,6,13,32,-13
HOU,HOU @ MIN,04/23/2018,W,240,119,40,92,43.5,16,43,37.2,23,26,88.5,10,36,46,20,11,6,7,17,19
MIN,MIN vs. HOU,04/23/2018,L,240,100,39,84,46.4,8,22,36.4,14,23,60.9,10,38,48,23,4,1,17,22,-19
UTA,UTA vs. OKC,04/23/2018,W,240,113,41,91,45.1,12,34,35.3,19,27,70.4,10,39,49,21,7,7,12,23,17
OKC,OKC @ UTA,04/23/2018,L,240,96,33,84,39.3,5,26,19.2,25,30,83.3,9,37,46,10,8,6,15,21,-17
TOR,TOR @ WAS,04/22/2018,L,240,98,34,79,43.0,7,18,38.9,23,30,76.7,9,32,41,19,9,7,18,26,-8
WAS,WAS vs. TOR,04/22/2018,W,240,106,39,85,45.9,7,17,41.2,21,31,67.7,9,31,40,23,10,8,13,23,8
MIL,MIL vs. BOS,04/22/2018,W,240,104,38,73,52.1,10,23,43.5,18,24,75.0,2,34,36,24,7,14,10,24,2
BOS,BOS @ MIL,04/22/2018,L,240,102,36,87,41.4,10,29,34.5,20,25,80.0,16,27,43,22,6,3,9,21,-2
CLE,CLE @ IND,04/22/2018,W,240,104,35,78,44.9,12,34,35.3,22,26,84.6,8,37,45,17,4,7,11,18,4
IND,IND vs. CLE,04/22/2018,L,240,100,40,93,43.0,12,33,36.4,8,13,61.5,11,36,47,25,7,5,9,19,-4
SAS,SAS vs. GSW,04/22/2018,W,240,103,37,81,45.7,15,28,53.6,14,19,73.7,7,27,34,20,6,4,8,18,13
GSW,GSW @ SAS,04/22/2018,L,240,90,34,90,37.8,7,28,25.0,15,17,88.2,24,37,61,19,6,2,18,22,-13
POR,POR @ NOP,04/21/2018,L,240,123,50,95,52.6,10,27,37.0,13,16,81.3,6,27,33,20,8,2,6,28,-8
NOP,NOP vs. POR,04/21/2018,W,240,131,45,78,57.7,9,25,36.0,32,39,82.1,7,36,43,28,5,6,14,21,8
HOU,HOU @ MIN,04/21/2018,L,240,105,37,81,45.7,15,41,36.6,16,25,64.0,7,32,39,18,4,3,10,18,-16
MIN,MIN vs. HOU,04/21/2018,W,240,121,45,90,50.0,15,27,55.6,16,22,72.7,8,33,41,29,9,3,7,16,16
UTA,UTA vs. OKC,04/21/2018,W,240,115,42,80,52.5,13,34,38.2,18,27,66.7,13,35,48,24,12,5,19,20,13
OKC,OKC @ UTA,04/21/2018,L,240,102,37,78,47.4,14,28,50.0,14,19,73.7,6,27,33,17,11,3,17,23,-13
PHI,PHI @ MIA,04/21/2018,W,240,106,36,84,42.9,7,31,22.6,27,35,77.1,17,40,57,22,12,5,27,25,4
MIA,MIA vs. PHI,04/21/2018,L,240,102,41,94,43.6,7,19,36.8,13,25,52.0,13,30,43,21,18,4,19,32,-4
WAS,WAS vs. TOR,04/20/2018,W,240,122,47,85,55.3,10,23,43.5,18,20,90.0,7,32,39,29,10,8,13,21,19
TOR,TOR @ WAS,04/20/2018,L,240,103,37,82,45.1,12,28,42.9,17,19,89.5,8,26,34,20,8,4,19,19,-19
BOS,BOS @ MIL,04/20/2018,L,240,92,32,80,40.0,8,24,33.3,20,28,71.4,17,28,45,17,3,1,18,15,-24
MIL,MIL vs. BOS,04/20/2018,W,240,116,45,79,57.0,16,33,48.5,10,15,66.7,7,30,37,28,8,12,9,27,24
IND,IND vs. CLE,04/20/2018,W,240,92,34,73,46.6,8,26,30.8,16,20,80.0,7,30,37,17,8,3,20,22,2
CLE,CLE @ IND,04/20/2018,L,240,90,34,77,44.2,10,32,31.3,12,16,75.0,9,27,36,17,11,3,17,23,-2
NOP,NOP vs. POR,04/19/2018,W,240,119,46,87,52.9,11,27,40.7,16,19,84.2,6,32,38,27,16,4,13,23,17
POR,POR @ NOP,04/19/2018,L,240,102,37,80,46.3,9,31,29.0,19,25,76.0,11,33,44,19,10,3,24,19,-17
MIA,MIA vs. PHI,04/19/2018,L,240,108,33,73,45.2,16,33,48.5,26,35,74.3,5,30,35,26,7,9,15,30,-20
PHI,PHI @ MIA,04/19/2018,W,240,128,41,81,50.6,18,34,52.9,28,37,75.7,6,35,41,28,10,5,12,26,20
SAS,SAS vs. GSW,04/19/2018,L,240,97,37,87,42.5,7,33,21.2,16,20,80.0,10,31,41,19,8,5,12,21,-13
GSW,GSW @ SAS,04/19/2018,W,240,110,42,82,51.2,10,32,31.3,16,18,88.9,4,35,39,26,8,7,10,16,13
UTA,UTA @ OKC,04/18/2018,W,240,102,35,84,41.7,9,29,31.0,23,33,69.7,15,41,56,22,9,3,16,19,7
OKC,OKC vs. UTA,04/18/2018,L,240,95,36,90,40.0,11,35,31.4,12,18,66.7,10,36,46,22,11,4,13,25,-7
HOU,HOU vs. MIN,04/18/2018,W,240,102,35,96,36.5,16,52,30.8,16,21,76.2,12,42,54,22,8,9,9,17,20
MIN,MIN @ HOU,04/18/2018,L,240,82,31,80,38.8,5,18,27.8,15,21,71.4,9,43,52,15,7,7,16,16,-20
IND,IND @ CLE,04/18/2018,L,240,97,41,78,52.6,6,22,27.3,9,12,75.0,5,31,36,22,8,3,17,23,-3
CLE,CLE vs. IND,04/18/2018,W,240,100,37,73,50.7,11,28,39.3,15,22,68.2,6,24,30,15,8,2,15,19,3
TOR,TOR vs. WAS,04/17/2018,W,240,130,45,87,51.7,13,35,37.1,27,33,81.8,9,39,48,24,5,8,14,27,11
WAS,WAS @ TOR,04/17/2018,L,240,119,42,86,48.8,10,22,45.5,25,28,89.3,4,30,34,26,7,3,9,24,-11
NOP,NOP @ POR,04/17/2018,W,240,111,43,84,51.2,12,24,50.0,13,19,68.4,10,33,43,25,4,4,14,17,9
POR,POR vs. NOP,04/17/2018,L,240,102,41,91,45.1,12,32,37.5,8,10,80.0,13,32,45,20,5,4,16,20,-9
BOS,BOS vs. MIL,04/17/2018,W,240,120,48,90,53.3,13,31,41.9,11,18,61.1,9,29,38,24,10,6,7,16,14
MIL,MIL @ BOS,04/17/2018,L,240,106,46,77,59.7,7,17,41.2,7,17,41.2,7,31,38,19,3,4,15,19,-14
SAS,SAS @ GSW,04/16/2018,L,240,101,35,85,41.2,4,28,14.3,27,30,90.0,9,26,35,16,10,2,9,21,-15
GSW,GSW vs. SAS,04/16/2018,W,240,116,41,78,52.6,15,31,48.4,19,20,95.0,6,33,39,32,5,5,15,24,15
MIA,MIA @ PHI,04/16/2018,W,240,113,40,82,48.8,9,25,36.0,24,30,80.0,11,35,46,23,8,7,15,27,10
PHI,PHI vs. MIA,04/16/2018,L,240,103,40,96,41.7,7,36,19.4,16,22,72.7,17,32,49,22,7,5,15,26,-10
UTA,UTA @ OKC,04/15/2018,L,240,108,41,87,47.1,11,28,39.3,15,20,75.0,9,33,42,18,10,7,14,21,-8
OKC,OKC vs. UTA,04/15/2018,W,240,116,41,85,48.2,14,29,48.3,20,23,87.0,9,37,46,16,8,5,17,19,8
HOU,HOU vs. MIN,04/15/2018,W,240,104,39,83,47.0,10,37,27.0,16,23,69.6,8,29,37,15,8,8,11,19,3
MIN,MIN @ HOU,04/15/2018,L,240,101,35,80,43.8,8,23,34.8,23,28,82.1,11,36,47,22,3,2,14,19,-3
IND,IND @ CLE,04/15/2018,W,240,98,36,79,45.6,11,28,39.3,15,25,60.0,8,36,44,19,12,4,11,21,18
CLE,CLE vs. IND,04/15/2018,L,240,80,30,78,38.5,8,34,23.5,12,20,60.0,9,37,46,21,7,4,17,23,-18
MIL,MIL @ BOS,04/15/2018,L,265,107,40,83,48.2,8,21,38.1,19,24,79.2,5,37,42,22,8,8,20,31,-6
BOS,BOS vs. MIL,04/15/2018,W,265,113,39,94,41.5,11,26,42.3,24,27,88.9,11,34,45,20,8,5,15,21,6
WAS,WAS @ TOR,04/14/2018,L,240,106,41,86,47.7,8,21,38.1,16,18,88.9,6,29,35,29,11,3,14,21,-8
TOR,TOR vs. WAS,04/14/2018,W,240,114,41,77,53.2,16,30,53.3,16,20,80.0,5,33,38,26,6,7,17,18,8
NOP,NOP @ POR,04/14/2018,W,240,97,41,86,47.7,8,24,33.3,7,10,70.0,7,42,49,26,8,12,15,17,2
POR,POR vs. NOP,04/14/2018,L,240,95,37,98,37.8,12,39,30.8,9,12,75.0,15,37,52,17,10,6,12,15,-2
SAS,SAS @ GSW,04/14/2018,L,240,92,32,80,40.0,9,22,40.9,19,24,79.2,3,27,30,19,9,4,13,20,-21
GSW,GSW vs. SAS,04/14/2018,W,240,113,44,81,54.3,10,22,45.5,15,22,68.2,10,41,51,32,6,6,15,18,21
PHI,PHI vs. MIA,04/14/2018,W,240,130,45,95,47.4,18,28,64.3,22,29,75.9,17,33,50,34,9,4,11,23,27
