TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. WAS,04/24/2017,W,240,111,40,90,44.4,12,31,38.7,19,25,76.0,12,37,49,24,7,1,12,20,10
GSW,GSW @ POR,04/24/2017,W,240,128,46,86,53.5,17,29,58.6,19,27,70.4,6,39,45,27,7,9,10,15,25
POR,POR vs. GSW,04/24/2017,L,240,103,33,85,38.8,13,39,33.3,24,29,82.8,7,32,39,14,7,3,11,20,-25
HOU,HOU @ OKC,04/23/2017,W,240,113,37,85,43.5,11,35,31.4,28,33,84.8,13,32,45,19,13,2,20,26,4
OKC,OKC vs. HOU,04/23/2017,L,240,109,42,85,49.4,7,19,36.8,18,32,56.3,10,30,40,20,10,12,17,20,-4
LAC,LAC @ UTA,04/23/2017,L,240,98,33,75,44.0,11,32,34.4,21,29,72.4,6,25,31,17,8,0,9,18,-7
UTA,UTA vs. LAC,04/23/2017,W,240,105,40,74,54.1,10,22,45.5,15,21,71.4,7,35,42,24,7,3,13,17,7
CLE,CLE @ IND,04/23/2017,W,240,106,37,90,41.1,9,31,29.0,23,27,85.2,15,33,48,11,9,8,13,15,4
IND,IND vs. CLE,04/23/2017,L,240,102,41,88,46.6,10,30,33.3,10,17,58.8,9,33,42,21,8,6,15,22,-4
CHI,CHI vs. BOS,04/23/2017,L,240,95,32,76,42.1,5,24,20.8,26,33,78.8,12,32,44,19,5,3,12,23,-9
BOS,BOS @ CHI,04/23/2017,W,240,104,38,82,46.3,10,37,27.0,18,22,81.8,11,31,42,22,7,4,13,24,9
MEM,MEM vs. SAS,04/22/2017,W,265,110,38,82,46.3,12,27,44.4,22,24,91.7,8,43,51,19,3,3,23,21,2
SAS,SAS @ MEM,04/22/2017,L,265,108,41,97,42.3,9,30,30.0,17,17,100.0,8,29,37,16,11,3,10,24,-2
MIL,MIL vs. TOR,04/22/2017,L,240,76,30,81,37.0,5,21,23.8,11,18,61.1,13,37,50,16,8,3,21,21,-11
TOR,TOR @ MIL,04/22/2017,W,240,87,33,80,41.3,5,22,22.7,16,17,94.1,4,37,41,16,11,6,13,19,11
WAS,WAS @ ATL,04/22/2017,L,240,98,37,89,41.6,7,29,24.1,17,20,85.0,6,36,42,16,6,4,16,28,-18
ATL,ATL vs. WAS,04/22/2017,W,240,116,44,89,49.4,9,25,36.0,19,32,59.4,11,39,50,26,6,5,12,17,18
GSW,GSW @ POR,04/22/2017,W,240,119,40,91,44.0,12,36,33.3,27,35,77.1,6,36,42,25,11,11,7,19,6
POR,POR vs. GSW,04/22/2017,L,240,113,39,90,43.3,13,33,39.4,22,27,81.5,11,41,52,17,5,6,16,23,-6
OKC,OKC vs. HOU,04/21/2017,W,240,115,46,83,55.4,9,19,47.4,14,23,60.9,9,31,40,24,8,5,11,21,2
HOU,HOU @ OKC,04/21/2017,L,240,113,38,83,45.8,10,35,28.6,27,33,81.8,11,31,42,10,4,6,16,24,-2
UTA,UTA vs. LAC,04/21/2017,L,240,106,36,69,52.2,14,34,41.2,20,29,69.0,3,24,27,16,5,2,11,26,-5
LAC,LAC @ UTA,04/21/2017,W,240,111,41,75,54.7,7,19,36.8,22,33,66.7,9,32,41,16,8,3,8,20,5
CHI,CHI vs. BOS,04/21/2017,L,240,87,33,84,39.3,6,21,28.6,15,15,100.0,15,37,52,14,7,8,18,15,-17
BOS,BOS @ CHI,04/21/2017,W,240,104,41,86,47.7,17,37,45.9,5,7,71.4,7,30,37,34,11,2,13,12,17
MEM,MEM vs. SAS,04/20/2017,W,240,105,39,77,50.6,9,22,40.9,18,20,90.0,6,27,33,21,2,3,5,24,11
SAS,SAS @ MEM,04/20/2017,L,240,94,34,72,47.2,10,24,41.7,16,28,57.1,12,30,42,16,1,3,12,21,-11
